U	Z	BC	SD	FB	CN	SF	FT	SO
-0,948428806	-0,041922601	0,149145493	0,022244378	0,328606444	-0,015623248	10,14914549	-2,065266253	-0,570001438
0,499272104	-0,129104637	-0,051556859	0,00265811	0,062346004	-0,015501288	9,948443141	0,436405669	-0,474665908
-0,034849141	-0,098507104	-0,007330564	5,37E-05	0,073510962	-0,015527659	9,992669436	-3,289359842	-0,398485682
1,560781833	-0,245993698	-0,304796019	0,092900613	-0,222436015	-0,015818447	9,695203981	1,383744596	-0,353859917
0,689140321	-0,171246537	-0,151755793	0,023029821	-0,060177103	-0,016237794	9,848244207	-1,74510182	-0,325331836
-1,115382409	-0,245205208	-0,296168094	0,08771554	-0,196676302	-0,016657681	9,703831906	1,294712302	-0,300775617
-0,528154306	-0,174358825	-0,151979265	0,023097697	-0,049536711	-0,017067252	9,848020735	0,082280983	-0,278392305
-1,344699721	-0,161082723	-0,130747178	0,017094824	-0,038950029	-0,017314882	9,869252822	3,252310843	-0,244153976
-0,699553607	0,002774353	0,175874978	0,030932008	0,231169071	-0,017224898	10,17587498	1,202405663	-0,181962954
0,572824414	0,06809071	0,26891419	0,072314841	0,268554972	-0,01674301	10,26891419	-2,499679008	-0,09022276
0,462414481	-0,044531647	0,017983816	0,000323418	-0,003840633	-0,016431381	10,01798382	-1,074292427	-0,026624527
1,656713775	-0,090554428	-0,081014219	0,006563304	-0,08963502	-0,016464846	9,918985781	-2,608385223	-0,005730356
-0,71534662	-0,209902132	-0,310081513	0,096150545	-0,281743579	-0,016830353	9,689918487	-1,089025701	-0,022963616
0,506347472	-0,25649863	-0,380680818	0,144917885	-0,304172671	-0,017489171	9,619319182	1,526329647	-0,070207748
1,434788428	-0,177578108	-0,207839662	0,043197325	-0,10946953	-0,018036351	9,792160338	1,132668623	-0,104643808
0,168326894	-0,116674761	-0,086343212	0,00745515	0,002844279	-0,018290119	9,913656788	3,399770763	-0,109122231
0,625308412	0,05208547	0,22961938	0,05272506	0,274998043	-0,018099822	10,22961938	-1,660312619	-0,070900338
1,555311726	-0,020945349	0,058326124	0,003401937	0,066419896	-0,017781759	10,05832612	0,954368821	-0,025105425
-0,012735015	0,029233197	0,139538607	0,019471023	0,127988623	-0,017545834	10,13953861	2,730038248	0,007736143
-2,315283563	0,162989462	0,374327541	0,140121108	0,322302978	-0,016989533	10,37432754	-0,037673752	0,066790192
-1,541045678	0,163497386	0,336985963	0,113559539	0,243793493	-0,01624624	10,33698596	0,913630861	0,135944119
-0,376361004	0,207444515	0,38924995	0,151515524	0,26649539	-0,015486513	10,38924995	2,721373501	0,197651412
1,756686428	0,335711039	0,600621066	0,360745665	0,435014011	-0,014459585	10,60062107	-0,626091097	0,27608291
1,221186781	0,302552013	0,489438484	0,239550029	0,289500011	-0,013345462	10,48943848	-5,12000561	0,351307245
-0,318660952	0,053432021	-0,018971313	0,000359911	-0,187591534	-0,012865889	9,981028687	-3,063120043	0,353601746
-0,290237315	-0,098302593	-0,294876556	0,086952183	-0,379771456	-0,013162991	9,705123444	-0,457845452	0,276622363
-1,667149794	-0,12476335	-0,309647179	0,095881375	-0,316608036	-0,013741107	9,690352821	3,823020035	0,176432746
1,610284292	0,054280269	0,064915516	0,004214024	0,077341707	-0,01394555	10,06491552	2,377458045	0,120305145
1,495111187	0,165326105	0,274511914	0,075356791	0,253143326	-0,013571553	10,27451191	-0,911833819	0,125040468
0,54793262	0,119268647	0,166987927	0,027884968	0,117159579	-0,013106993	10,16698793	-0,747462557	0,138713424
-0,766974219	0,080299002	0,084107061	0,007073998	0,030692082	-0,012832747	10,08410706	-3,418406649	0,133660612
-0,844152984	-0,085992736	-0,233341914	0,054448449	-0,254238165	-0,012966863	9,766658086	3,453910499	0,090045788
1,024093821	0,075429365	0,100850782	0,01017088	0,095016754	-0,013062081	10,10085078	2,889371592	0,055621801
-0,139756297	0,210529952	0,353587288	0,12502397	0,310144784	-0,012573504	10,35358729	0,742277952	0,081567671
-1,20191632	0,242638061	0,388816116	0,151177972	0,298217519	-0,011805536	10,38881612	-1,922764554	0,133092788
-0,291851299	0,14656075	0,179306896	0,032150963	0,073474155	-0,011221436	10,1793069	-1,867612863	0,162531619
